"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"6","75","VCDSA23519","VMSA-2017-0007:VMware vCenter Server updates resolve a remote code execution vulnerability via BlazeDS","CRITICAL","","11 April 2017","CVE-2017-5641","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23519","vCenter Server | 3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.0U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5.0; 500; 4.1; 410; 4.0; 400; 3.5; 41","76","VCDSA23427","VMSA-2011-0012:VMware ESXi and ESX updates to third party libraries and ESX Service Console","HIGH","","10 October 2011","CVE-2010-1083; CVE-2010-2492; CVE-2010-2798; CVE-2010-2938; CVE-2010-2942; CVE-2010-2943; CVE-2010-3015; CVE-2010-3066; CVE-2010-3067; CVE-2010-3078; CVE-2010-3086; CVE-2010-3296; CVE-2010-3432; CVE-2010-3442; CVE-2010-3477; CVE-2010-3699; CVE-2010-3858; CVE-2010-3859; CVE-2010-3865; CVE-2010-3876; CVE-2010-3877; CVE-2010-3880; CVE-2010-3904; CVE-2010-4072; CVE-2010-4073; CVE-2010-4075; CVE-2010-4080; CVE-2010-4081; CVE-2010-4083; CVE-2010-4157; CVE-2010-4158; CVE-2010-4161; CVE-2010-4238; CVE-2010-4242; CVE-2010-4243; CVE-2010-4247; CVE-2010-4248; CVE-2010-4249; CVE-2010-4251; CVE-2010-4255; CVE-2010-4263; CVE-2010-4343; CVE-2010-4346; CVE-2010-4526; CVE-2010-4655; CVE-2011-0521; CVE-2011-0710; CVE-2011-1010; CVE-2011-1090; CVE-2011-1478; CVE-2010-1323; CVE-2011-0281; CVE-2011-0282; CVE-2010-0296; CVE-2011-0536; CVE-2011-1071; CVE-2011-1095; CVE-2011-1658; CVE-2011-1659; CVE-2011-1494; CVE-2011-1495","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23427","ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 41 | N/A | N/A | N/A | N/A | N/A | N/A | "
"6.7; 6.5; 6.0","77","VCDSA23565","VMSA-2019-0020:VMware ESXi, Workstation, and Fusion patches provide Hypervisor-Specific Mitigations for Speculative-Execution Vulnerabilities","MEDIUM","6.5","10 November 2019","CVE-2018-12207; CVE-2019-11135","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23565","ESXi | 6.7 | Any | CVE-2018-12207 | 6.5 | Moderate | ESXi670-201911401-BGESXi670-201911402-BG | None | KB59139<br>ESXi | 6.5 | Any | CVE-2018-12207 | 6.5 | Moderate | ESXi650-201911401-BGESXi650-201911402-BG | None | KB59139<br>ESXi | 6.0 | Any | CVE-2018-12207 | 6.5 | Moderate | ESXi600-201911401-BGESXi600-201911402-BG | None | KB59139<br>Workstation | 15.x | Any | CVE-2018-12207 | N/A | N/A | Unaffected | N/A | N/A<br>Fusion | 11.x | Any | CVE-2018-12207 | N/A | N/A | Unaffected | N/A | N/A<br>ESXi | 6.7 | Any | CVE-2019-11135 | 6.5 | Moderate | ESXi670-201911401-BGESXi670-201911402-BG | None | None<br>ESXi | 6.5 | Any | CVE-2019-11135 | 6.5 | Moderate | ESXi650-201911401-BGESXi650-201911402-BG | None | None<br>ESXi | 6.0 | Any | CVE-2019-11135 | 6.5 | Moderate | ESXi600-201911401-BGESXi600-201911402-BG | None | None<br>Workstation | 15.x | Any | CVE-2019-11135 | 6.5 | Moderate | 15.5.1 | None | None<br>Fusion | 11.x | Any | CVE-2019-11135 | 6.5 | Moderate | 11.5.1 | None | None"
"7.0; 6.7; 6.5; 4.x; 3.x","78","VCDSA23636","VMSA-2022-0020:VMware ESXi addresses Return-Stack-Buffer-UnderfLOW and Branch Type Confusion vulnerabilities","MEDIUM","","10 July 2022","CVE-2022-29901; CVE-2022-28693; CVE-2022-23816; CVE-2022-23825; CVE-2022-26373","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23636","ESXi | 7.0 | Any | CVE-2022-29901, CVE-2022-28693, CVE-2022-23816, CVE-2022-23825, CVE-2022-26373 | 5.6 | moderate | ESXi70U3sf-20036586 | None | FAQ<br>ESXi | 6.7 | Any | CVE-2022-29901, CVE-2022-28693, CVE-2022-23816, CVE-2022-23825, CVE-2022-26373 | 5.6 | moderate | ESXi670-202207401-SG | None | FAQ<br>ESXi | 6.5 | Any | CVE-2022-29901, CVE-2022-28693, CVE-2022-23816, CVE-2022-23825, CVE-2022-26373 | 5.6 | moderate | ESXi650-202207401-SG | None | FAQ<br>Cloud Foundation (ESXi) | 4.x | Any | CVE-2022-29901, CVE-2022-28693, CVE-2022-23816, CVE-2022-23825, CVE-2022-26373 | 5.6 | moderate | KB88695 | None | FAQ<br>Cloud Foundation (ESXi) | 3.x | Any | CVE-2022-29901, CVE-2022-28693, CVE-2022-23816, CVE-2022-23825, CVE-2022-26373 | 5.6 | moderate | KB88927 | None | FAQ"
"6.5","79","VCDSA23543","VMSA-2018-0017:VMware Tools update addresses an out-of-bounds read vulnerability","HIGH","","10 July 2018","CVE-2018-6969","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23543","ESXi | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 10 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 10.3.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 10.3.2 | N/A | N/A | N/A | N/A | N/A | N/A | "
"500; 4.1; 410; 4.0; 400; 5.0; 3.5; 7","80","VCDSA23436","VMSA-2012-0012:VMware ESXi update to third party library","MEDIUM","","10 July 2012","CVE-2010-4008; CVE-2011-0216; CVE-2011-1944; CVE-2011-2834; CVE-2011-3905; CVE-2011-3919; CVE-2012-0841; CVE-2010-4494; CVE-2011-2821","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23436","ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 7 | N/A | N/A | N/A | N/A | N/A | N/A | "
"3.5","81","VCDSA23360","VMSA-2008-0013:Updated ESX packages for OpenSSL, net-snmp, perl","MEDIUM","","10 August 2008","CVE-2007-3108; CVE-2007-5135; CVE-2008-2292; CVE-2008-0960; CVE-2008-1927","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23360","ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5.0; 500; 4.1; 410; 4.0; 400; 3.5","82","VCDSA23431","VMSA-2012-0007:VMware hosted products and ESXi/ESX patches address privilege escalation","HIGH","","10 April 2012","CVE-2012-1518","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23431","ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5.5; 550; 5.1; 510; 5.0; 500; 4.1; 410; 4.0; 400","83","VCDSA23462","VMSA-2014-0002:VMware vSphere updates to third party libraries","MEDIUM","","09 March 2014","CVE-2013-5211; CVE-2013-4332","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23462","vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 550 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 510 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | "
"6.7; 670; 6.5; 650; 6.0; 67u2; 6.7 U2","84","VCDSA23551","VMSA-2019-0006:VMware ESXi, Workstation and Fusion updates address multiple out-of-bounds read vulnerabilities","HIGH","","09 April 2019","CVE-2019-5516; CVE-2019-5517; CVE-2019-5520","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23551","ESXi | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 670 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 650 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 67u2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.7 U2 | N/A | N/A | N/A | N/A | N/A | N/A | "
