"VmName","HostName","ClusterName","NumCpu","CpuTopology","MemoryGB","DiskLabel","DiskCapacityGB","DiskFormat","Datastore"
"md-esxi04","fu-03.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 2","500","Thin","vsanDatastore"
"md-esxi04","fu-03.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 3","500","Thin","vsanDatastore"
"md-esxi04","fu-03.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 4","500","Thin","vsanDatastore"
"md-esxi04","fu-03.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 5","500","Thin","vsanDatastore"
"md-esxi04","fu-03.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 6","500","Thin","vsanDatastore"
"md-esxi04","fu-03.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 7","500","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 1","50","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 2","500","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 3","500","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 4","500","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 5","500","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 6","500","Thin","vsanDatastore"
"md-esxi03","fu-02.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 7","500","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 1","50","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 2","500","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 3","500","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 4","500","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 5","500","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 6","500","Thin","vsanDatastore"
"md-esxi02","fu-01.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 7","500","Thin","vsanDatastore"
"NC-ESXi02","fu-01.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","8","Hard disk 1","40","Thin","vsanDatastore"
"NC-ESXi02","fu-01.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","8","Hard disk 2","500","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 1","50","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 2","500","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 3","500","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 4","500","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 5","500","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 6","500","Thin","vsanDatastore"
"md-esxi01","fu-04.***.***","epa-cl01","48","2 socket(s) x 24 core(s)","192","Hard disk 7","500","Thin","vsanDatastore"
"NC-ESXi04","fu-04.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","8","Hard disk 1","40","Thin","vsanDatastore"
"NC-ESXi04","fu-04.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","8","Hard disk 2","500","Thin","vsanDatastore"
"Nice-Depot","fu-03.***.***","epa-cl01","2","1 socket(s) x 2 core(s)","4","Hard disk 1","1024","Thin","vsanDatastore"
"Nice-AD","fu-06.***.***","epa-cl01","2","1 socket(s) x 2 core(s)","4","Hard disk 1","90","Thin","vsanDatastore"
"krxcs01","fu-05.***.***","epa-cl01","2","2 socket(s) x 1 core(s)","4","Hard disk 1","90","Thin","vsanDatastore"
"Nice-Builder","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","4","Hard disk 1","95.6","Thin","vsanDatastore"
"Nice-Builder","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","4","Hard disk 2","49.1","Thin","vsanDatastore"
"Nice-Builder","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","4","Hard disk 3","94.1","Thin","vsanDatastore"
"Nice-Builder","fu-05.***.***","epa-cl01","4","4 socket(s) x 1 core(s)","4","Hard disk 4","15.1","Thin","vsanDatastore"
"avi-lb-insung","fu-05.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","32","Hard disk 1","128","Thin","vsanDatastore"
"epa-harbor","fu-04.***.***","epa-cl01","4","2 socket(s) x 2 core(s)","8","Hard disk 1","20","Thin","vsanDatastore"
"epa-harbor","fu-04.***.***","epa-cl01","4","2 socket(s) x 2 core(s)","8","Hard disk 2","40","Thin","vsanDatastore"
"epa-dns","fu-03.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 1","90","Thin","vsanDatastore"
"edge02","fu-04.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 1","197","Thin","vsanDatastore"
"edge01","fu-06.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 1","197","Thin","vsanDatastore"
"epa-nsx-03","fu-06.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","24","Hard disk 1","200","Thin","vsanDatastore"
"epa-nsx-03","fu-06.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","24","Hard disk 2","100","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 1","48.6","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 2","7.3","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 3","50","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 4","100","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 5","50","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 6","25","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 7","25","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 8","200","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 9","10","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 10","25","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 11","25","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 12","100","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 13","100","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 14","200","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 15","25","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 16","100","Thin","vsanDatastore"
"VCSA","fu-06.***.***","epa-cl01","16","16 socket(s) x 1 core(s)","39","Hard disk 17","300","Thin","vsanDatastore"
"epa-nsx-01","fu-06.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","24","Hard disk 1","200","Thin","vsanDatastore"
"epa-nsx-01","fu-06.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","24","Hard disk 2","100","Thin","vsanDatastore"
"epa-nsx-02","fu-05.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","24","Hard disk 1","200","Thin","vsanDatastore"
"epa-nsx-02","fu-05.***.***","epa-cl01","6","6 socket(s) x 1 core(s)","24","Hard disk 2","100","Thin","vsanDatastore"
